Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,In The Dark,1943.02.07,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-02-07_in_the_dark.mp3&dl_series=The Whistler&dl_title=In The Dark&dl_date=1943.02.07&dl_size=6.76 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Legacy Of Death,1943.02.14,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-02-14_legacy_of_death.mp3&dl_series=The Whistler&dl_title=Legacy Of Death&dl_date=1943.02.14&dl_size=6.74 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Fool's Gold,1943.02.21,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-02-21_fools_gold.mp3&dl_series=The Whistler&dl_title=Fool's Gold&dl_date=1943.02.21&dl_size=6.77 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Penalty,1943.03.28,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-03-28_the_penalty.mp3&dl_series=The Whistler&dl_title=The Penalty&dl_date=1943.03.28&dl_size=6.71 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Killers,1943.05.01,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-05-01_the_killers.mp3&dl_series=The Whistler&dl_title=The Killers&dl_date=1943.05.01&dl_size=6.7 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Has A Thirst,1943.05.08,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-05-08_death_has_a_thirst.mp3&dl_series=The Whistler&dl_title=Death Has A Thirst&dl_date=1943.05.08&dl_size=6.74 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Has A Thirst,1943.05.08,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-05-08_death_has_a_thirst.mp3&dl_series=The Whistler&dl_title=Death Has A Thirst&dl_date=1943.05.08&dl_size=6.75 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Man Who Waited,1943.05.15,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-05-15_the_man_who_waited.mp3&dl_series=The Whistler&dl_title=The Man Who Waited&dl_date=1943.05.15&dl_size=6.72 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Final Decree,1943.05.29,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-05-29_final_decree.mp3&dl_series=The Whistler&dl_title=Final Decree&dl_date=1943.05.29&dl_size=6.12 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Shadow Of A Mind,1943.06.05,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-06-05_shadow_of_a_mind.mp3&dl_series=The Whistler&dl_title=Shadow Of A Mind&dl_date=1943.06.05&dl_size=6.73 MB
